,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__max_depth,param_estimator__n_clusters,params,split0_test_AUC-ROC,split1_test_AUC-ROC,split2_test_AUC-ROC,split3_test_AUC-ROC,split4_test_AUC-ROC,mean_test_AUC-ROC,std_test_AUC-ROC,rank_test_AUC-ROC,split0_test_AUC-PRC,split1_test_AUC-PRC,split2_test_AUC-PRC,split3_test_AUC-PRC,split4_test_AUC-PRC,mean_test_AUC-PRC,std_test_AUC-PRC,rank_test_AUC-PRC,split0_test_NLL,split1_test_NLL,split2_test_NLL,split3_test_NLL,split4_test_NLL,mean_test_NLL,std_test_NLL,rank_test_NLL
0,0.8188683986663818,0.05953997234720126,0.02138495445251465,0.011151711218814647,5,1,"{'estimator__max_depth': 5, 'estimator__n_clusters': 1}",0.6099018984395943,0.6505567911245396,0.6765401900121912,0.6541814831070186,0.6831591935079359,0.6548679112382559,0.02573357171844405,3,0.25639041553526365,0.291693870429057,0.29336792170867565,0.29702176385887596,0.3140494884236009,0.29050469199109463,0.018816087545798704,3,-0.7375013711094288,-0.6762798178739169,-0.6886375822241914,-0.7248326609710732,-0.7448607684854213,-0.7144224401328063,0.02715592059193938,1
1,1.5392165184020996,0.03541407850278994,0.015004444122314452,0.0032348442449605633,5,2,"{'estimator__max_depth': 5, 'estimator__n_clusters': 2}",0.6331190060417641,0.6665561944624825,0.6847005530339481,0.669308247644298,0.7111762611515173,0.6729720524668019,0.02545573136189195,1,0.26466149394714295,0.30329685566533154,0.31057015045040604,0.34608926463165635,0.3488309271161325,0.3146897383621339,0.030987562148185252,1,-0.7850329678017766,-0.703233108091086,-0.7025413031052528,-0.7299756612307519,-0.6730990199187753,-0.7187764120295285,0.037701330413176457,2
2,1.694560432434082,0.06864103592794396,0.01216745376586914,0.00027826686154248736,5,4,"{'estimator__max_depth': 5, 'estimator__n_clusters': 4}",0.6332765831451941,0.6684061833031077,0.6689658343679588,0.67068427322561,0.7050591612625845,0.6692784070608909,0.02271223737170763,2,0.29196194670284537,0.30278200043134496,0.2989661794291887,0.318903145177229,0.3359879072261992,0.30972023579336144,0.01583326913117267,2,-0.8051624364747405,-0.7721155403692935,-0.8197790585185888,-0.8715766368154073,-0.7045520940201075,-0.7946371532396276,0.055290364552983216,3
3,2.3556658267974853,0.23943052145350546,0.01564450263977051,0.0027286351626445585,5,8,"{'estimator__max_depth': 5, 'estimator__n_clusters': 8}",0.6083569698988478,0.6344654210785452,0.660246941826571,0.6352574925656551,0.6747183010282685,0.6426090252795775,0.02295939158451589,4,0.267279172947708,0.27734285581632845,0.28833898993741913,0.2545576443534023,0.288405761824061,0.27518488497578375,0.012965047153729616,4,-0.915266633362706,-0.8836658926222798,-0.9898305132163912,-1.1567931646532312,-0.8846127191619502,-0.9660337846033116,0.10290441053891339,4
4,0.8636995315551758,0.18641922498554814,0.01636185646057129,0.0025749371077753605,10,1,"{'estimator__max_depth': 10, 'estimator__n_clusters': 1}",0.5900892413531668,0.615977308897106,0.6390895520211927,0.6186500170183798,0.6546881157966393,0.6236988470172969,0.021963273928051457,6,0.23502707316937466,0.23838729037919518,0.27534825926171946,0.24196872954586013,0.28542649434859285,0.2552315693409485,0.0209010479560447,6,-1.4707239968020747,-1.6492200633013028,-1.3127256841452646,-1.7036523146869518,-1.2609711480842265,-1.479458641403964,0.17589468513540724,5
5,1.7112084865570067,0.26340404221509056,0.01972513198852539,0.007648268539189022,10,2,"{'estimator__max_depth': 10, 'estimator__n_clusters': 2}",0.5753902696979791,0.671510059699852,0.6458552735617025,0.6342688590519867,0.6548415051413421,0.6363731934305725,0.03282966025543593,5,0.22185615689350963,0.28872278402328994,0.26229132886214646,0.2739161671388156,0.26944037759837336,0.263245362903227,0.022429087418362477,5,-1.8027490765368472,-1.255200078594408,-1.617722821652205,-1.7298127400573486,-1.724662884773269,-1.6260295203228157,0.19458302851234144,6
6,1.9963583946228027,0.44319182896546416,0.01970076560974121,0.010117964066038885,10,4,"{'estimator__max_depth': 10, 'estimator__n_clusters': 4}",0.5909158201804118,0.612317146071171,0.6348674950399662,0.6099169010425998,0.661320805417219,0.6218676335502735,0.024156140993772793,7,0.2307071498991887,0.22928804075873468,0.2565516817167024,0.23938217093554542,0.274684716376091,0.24612275193725247,0.017268654306869517,7,-2.0717706492300625,-2.0713019644035673,-2.033915661097601,-2.2412838243964357,-1.8738124330762858,-2.0584169064407902,0.11701604971740939,7
7,2.1433255672454834,0.31997151503930094,0.012549829483032227,0.0003258435729681812,10,8,"{'estimator__max_depth': 10, 'estimator__n_clusters': 8}",0.581403434395773,0.6078427414154125,0.6148361366356111,0.6070573653756584,0.6222384319802229,0.6066756219605356,0.013776693475841607,8,0.23362345108073634,0.22994597390630192,0.2447175496282733,0.2230324954040197,0.23962340108974753,0.23418857422181577,0.007525606718196748,8,-1.9562263150228587,-2.2814086189890084,-2.3997568891387835,-2.5455788725260606,-2.4742423864208987,-2.331442616419522,0.20698001066847066,8
8,0.8326078891754151,0.06044785062714745,0.013673734664916993,0.003417921283484932,15,1,"{'estimator__max_depth': 15, 'estimator__n_clusters': 1}",0.5571393643306002,0.5320279668516095,0.5697371210158508,0.569990886209738,0.640450897495611,0.5738692471806819,0.036043901089854315,12,0.21126984836926488,0.18615875191177084,0.20330359638999565,0.20294808607253356,0.2460251251608819,0.20994108158088937,0.0198110132128094,12,-2.6861540583647163,-3.8452370131873583,-3.7252052844144314,-3.2806974742481954,-2.7111823466235445,-3.249695235367649,0.4877121577754877,9
9,1.464651393890381,0.0834475059437251,0.012238311767578124,0.0006874493423770228,15,2,"{'estimator__max_depth': 15, 'estimator__n_clusters': 2}",0.5415173609592352,0.6084074394337542,0.5981811901164948,0.5898777587689442,0.6051097685500341,0.5886187035656925,0.024393081543518314,10,0.19310055824611091,0.22717726586990092,0.2200103506830455,0.21570034722816683,0.21810955523233444,0.2148196154519117,0.01151496499536428,10,-3.1378014384510116,-3.1423806267880585,-3.1768554784438856,-3.505560752296745,-3.5088155632021882,-3.294282771836378,0.17436315103854189,10
10,1.6096370220184326,0.04545205316491943,0.012140703201293946,0.0006968845032775051,15,4,"{'estimator__max_depth': 15, 'estimator__n_clusters': 4}",0.5853406188910834,0.5699535792433383,0.6036902202378348,0.5921214977965679,0.6011793065458063,0.5904570445429262,0.012160790655270108,9,0.21245065815476027,0.20565277149722758,0.22497598516527556,0.2177506648388074,0.22184616404765808,0.21653524874074578,0.0068708264464738085,9,-3.627051964180205,-3.965449063276778,-3.436378140317245,-3.602009444516697,-3.3647457724914167,-3.5991268769564684,0.20803928344935482,11
11,2.0625118255615233,0.196046851550835,0.013313484191894532,0.002403860997945992,15,8,"{'estimator__max_depth': 15, 'estimator__n_clusters': 8}",0.5522488663981688,0.5777797217894926,0.5822563695356915,0.5826242341729068,0.5852548054530473,0.5760327994698614,0.012132208703383739,11,0.20504720296459084,0.21677682383365737,0.21627883431038436,0.21258687724935668,0.21817642700822468,0.21377323307324278,0.004737905728117507,11,-3.8424081569714055,-3.7617777356277666,-3.9105610369735078,-4.112437157724481,-3.810732069859069,-3.887583231431246,0.12236108766991734,12
